frame,Density,Flow,Speed,Speed_CL,Speed_Temp,Density_Bin
26157,23.597567120167373,164.77414997765342,6.98267533846026,6.98267533846026,0.8131225096036473,"(23.4, 23.7]"
26156,23.65526412313754,162.9131454649919,6.8869721604860175,6.8869721604860175,0.802852752848355,"(23.4, 23.7]"
26155,15.836920095153417,111.7422541522676,7.055807157002969,7.055807157002969,0.5400052340921138,"(15.6, 15.9]"
26154,16.565357928817832,116.52279064760356,7.034124535570423,7.034124535570423,0.561948913883712,"(16.5, 16.8]"
26153,16.619886578519353,116.42358037676827,7.005076708961531,7.005076708961531,0.5596283131421396,"(16.5, 16.8]"
26152,16.69072210454721,115.73069251530123,6.933833766471472,6.933833766471472,0.5539367883544122,"(16.5, 16.8]"
26151,16.775658026321498,114.37584921426807,6.817964996354183,6.817964996354183,0.5446801524800831,"(16.5, 16.8]"
26150,16.86060887122477,112.05709460635897,6.646088255899328,6.646088255899328,0.5309490979427262,"(16.8, 17.1]"
26149,16.9324786927001,108.90951197473827,6.431988721278659,6.431988721278659,0.5138449081697583,"(16.8, 17.1]"
26148,16.97970167958961,105.41785263035402,6.208463176774841,6.208463176774841,0.4959876842431685,"(16.8, 17.1]"
26147,17.009322026334935,102.23101401822228,6.010293288582672,6.010293288582672,0.4801560974023447,"(16.8, 17.1]"
26146,17.022514958986868,99.6041446772329,5.8513177939460626,5.8513177939460626,0.46745571001321207,"(16.8, 17.1]"
26145,17.01273703399346,97.22601277199591,5.714895409111823,5.714895409111823,0.45655706717580263,"(16.8, 17.1]"
26144,16.99184947271231,94.9205122213605,5.586237823834069,5.586237823834069,0.4462787461218999,"(16.8, 17.1]"
26143,16.96587023528376,92.6554620742764,5.461285556786926,5.461285556786926,0.43629643909856136,"(16.8, 17.1]"
26142,16.93749684756769,90.43195965815579,5.33915728351219,5.33915728351219,0.42653973800887096,"(16.8, 17.1]"
26141,16.908851229730068,88.27508322494356,5.22064343849294,5.22064343849294,0.41707178984389814,"(16.8, 17.1]"
26140,16.128022363072763,82.13188536742841,5.092495751709783,5.092495751709783,0.3886445663530417,"(15.9, 16.2]"
26139,23.580027636133817,131.6217667165992,5.5819174068695,5.5819174068695,0.6413377534750632,"(23.4, 23.7]"
26138,23.66097478184781,130.55374731823636,5.517682535141975,5.517682535141975,0.6388716297777308,"(23.4, 23.7]"
26137,23.75474619747053,129.59682158381307,5.455618027087693,5.455618027087693,0.6368241357913776,"(23.7, 24.0]"
26136,23.863335163245246,128.57903958510425,5.388142047434513,5.388142047434513,0.6346035693001648,"(23.7, 24.0]"
26135,24.001640562048113,127.34517410464224,5.305686241548131,5.305686241548131,0.6309398048787845,"(24.0, 24.3]"
26134,24.18680961204956,126.14020161039495,5.21524763429541,5.21524763429541,0.6266417465368136,"(24.0, 24.3]"
26133,24.4421463387358,125.0526132478416,5.116269721765752,5.116269721765752,0.621840805365331,"(24.3, 24.6]"
26132,24.718269806820647,123.85041372394687,5.010480696742462,5.010480696742462,0.6158429940120059,"(24.6, 24.9]"
26131,24.97139953844785,122.06897952200599,4.888351545297226,4.888351545297226,0.6065455306488359,"(24.9, 25.2]"
26130,25.154130957286757,119.75816664846678,4.760974125952649,4.760974125952649,0.5942014853172355,"(24.9, 25.2]"
26129,25.304259697169613,117.12046854383657,4.628488244488614,4.628488244488614,0.5800195470064892,"(25.2, 25.5]"
